Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 11/13  24:00:00,0.937936705,3.566154007,0,3.040627917,0.081414249,0.081414249,0.081414249,0.255894671,0.053018496,0.140550925,0.391710364,0.498543589
 11/14  01:00:00,0.684477832,3.854924161,0,3.486056292,0.093340804,0.093340804,0.093340804,0.133278474,0.027613807,0.090892612,0.324004135,0.346549231
 11/14  02:00:00,0.59138183,4.201184183,0,3.903358848,0.104514277,0.104514277,0.104514277,0.079967085,0.016568276,0.07666173,0.298322463,0.277275748
 11/14  03:00:00,0.553373799,4.562803443,0,4.284035465,0.114707073,0.114707073,0.114707073,0.05331139,0.01104552,0.064098165,0.294863651,0.258456647
 11/14  04:00:00,0.546890914,4.751085516,0,4.467181871,0.119610905,0.119610905,0.119610905,0.05331139,0.01104552,0.056862021,0.290713078,0.263878222
 11/14  05:00:00,0.552360585,5.031052767,0,4.692627678,0.125647323,0.125647323,0.125647323,0.05331139,0.01104552,0.067277,0.279731353,0.319156128
 11/14  06:00:00,0.599971825,5.125022308,0,4.542430587,0.121625725,0.121625725,0.121625725,0.058642536,0.012150073,0.080047784,0.312157707,0.561089109
 11/14  07:00:00,0.759708744,5.805416013,0,4.767851457,0.127661475,0.127661475,0.127661475,0.101291641,0.020986482,0.133753612,0.360667534,1.012720404
 11/14  08:00:00,0.97656953,5.403383665,0,4.239937964,0.113526342,0.113526342,0.113526342,0.197252142,0.040868427,0.211338342,0.383236277,1.137046928
 11/14  09:00:00,0.948883269,5.055080949,0,3.928332566,0.10518296,0.10518296,0.10518296,0.191921003,0.039763875,0.272663295,0.324004135,1.104429745
 11/14  10:00:00,0.835790794,4.084243162,0,3.060195365,0.081938177,0.081938177,0.081938177,0.10662278,0.022091034,0.334037085,0.27575372,1.00505283
 11/14  11:00:00,0.841386188,4.103133495,0,3.196336594,0.085583422,0.085583422,0.085583422,0.090629363,0.018777379,0.348809033,0.282238991,0.887355204
 11/14  12:00:00,0.821883382,2.664230474,0,1.862495562,0.049869199,0.049869199,0.049869199,0.090629363,0.018777379,0.364933981,0.282325461,0.78228726
 11/14  13:00:00,0.788312545,1.847930229,0,1.128457919,0.030214994,0.030214994,0.030214994,0.090629363,0.018777379,0.355773214,0.277569596,0.700352259
 11/14  14:00:00,0.766670023,1.896316149,0,1.224820291,0.032795142,0.032795142,0.032795142,0.090629363,0.018777379,0.321952343,0.287167797,0.651714646
 11/14  15:00:00,0.773549978,1.963805451,0,1.339633815,0.035869328,0.035869328,0.035869328,0.101291641,0.020986482,0.296716788,0.303337739,0.603276577
 11/14  16:00:00,0.859750898,2.261724973,0,1.630183632,0.043648937,0.043648937,0.043648937,0.143940752,0.02982291,0.306790856,0.320199443,0.609484784
 11/14  17:00:00,1.112926028,2.41813195,0,1.724195822,0.046166158,0.046166158,0.046166158,0.26122581,0.054123048,0.35732319,0.378739822,0.667847087
 11/14  18:00:00,1.54763215,3.217179475,0,2.392864611,0.06407008,0.06407008,0.06407008,0.46380916,0.096096026,0.448200529,0.460108355,0.792620848
 11/14  19:00:00,1.757797496,2.620153909,0,1.677954978,0.044928037,0.044928037,0.044928037,0.634405538,0.131441695,0.402135423,0.499538802,0.907788796
 11/14  20:00:00,1.65974347,2.566138558,0,1.604024696,0.042948519,0.042948519,0.042948519,0.634405538,0.131441695,0.319977444,0.515622274,0.926595837
 11/14  21:00:00,1.583497737,2.61750255,0,1.722497935,0.046120696,0.046120696,0.046120696,0.586425287,0.12150073,0.280754343,0.533348681,0.858265527
 11/14  22:00:00,1.449892932,2.746610826,0,1.935730032,0.051830086,0.051830086,0.051830086,0.495795925,0.102723337,0.263298624,0.520896961,0.774999428
